;Dominant_Topic;Topic_Keywords;Num_Documents;Perc_Documents
234.0;10.0;èlovìk, øíkat, ¾ena, let, dìlat, ¾ivot, jít, máma, øíct, nìjaký;;
235.0;3.0;èeský, hra, závod, rok, tým, sezona, skonèit, letos, soutì¾, bøezen;;
236.0;4.0;èlovìk, opatøení, mìsto, zákaz, obchod, obec, pondìlí, omezení, tarif, vláda;;
237.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
238.0;4.0;èlovìk, opatøení, mìsto, zákaz, obchod, obec, pondìlí, omezení, tarif, vláda;;
239.0;10.0;èlovìk, øíkat, ¾ena, let, dìlat, ¾ivot, jít, máma, øíct, nìjaký;;
240.0;15.0;dítì, ¹kola, test, rodiè, student, testování, zkou¹ka, dìtský, auto¹kola, uèitel;;
241.0;3.0;èeský, hra, závod, rok, tým, sezona, skonèit, letos, soutì¾, bøezen;;
242.0;10.0;èlovìk, øíkat, ¾ena, let, dìlat, ¾ivot, jít, máma, øíct, nìjaký;;
243.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
244.0;13.0;procent, poèet, èlovìk, týden, pandemie, vysoký, bøezen, pøípad, proslulý_párty, èesku;;
245.0;6.0;zákon, soud, návrh, pøípad, rok, úøad, mìsíc, ministerstvo, rozhodnutí, konec;;
246.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
247.0;0.0;pøe, cesta, dlouhý, pár, kilometr, zima, hodina, let, svìt, èas;;
248.0;4.0;èlovìk, opatøení, mìsto, zákaz, obchod, obec, pondìlí, omezení, tarif, vláda;;
249.0;14.0;zápas, gól, bod, tým, utkání, hrát, sezona, domácí, hráè, trenér;;
250.0;1.0;let, rok, film, svìt, seriál, èeský, divadlo, kniha, zemøít, pøíbìh;;
251.0;17.0;vakcína, oèkování, èlovìk, dávka, milion, studie, oèkovat, vìdec, covidu, pøípad;;
252.0;6.0;zákon, soud, návrh, pøípad, rok, úøad, mìsíc, ministerstvo, rozhodnutí, konec;;
253.0;9.0;vláda, øíct, ministr, volba, uvést, strana, jednání, babi¹, pøedseda, blatný;;
